# time_ps cluster_size count
0.000000 1 3
0.000000 2 1
0.000000 20 1
1000.000000 1 3
1000.000000 2 4
1000.000000 3 2
1000.000000 8 1
2000.000000 1 1
2000.000000 2 1
2000.000000 22 1
3000.000000 1 3
3000.000000 2 1
3000.000000 3 2
3000.000000 4 1
3000.000000 10 1
4000.000000 1 2
4000.000000 3 1
4000.000000 20 1
5000.000000 1 3
5000.000000 2 1
5000.000000 3 1
5000.000000 17 1
6000.000000 1 4
6000.000000 2 2
6000.000000 4 1
6000.000000 5 1
6000.000000 8 1
7000.000000 1 5
7000.000000 2 1
7000.000000 18 1
8000.000000 1 1
8000.000000 2 1
8000.000000 3 1
8000.000000 19 1
9000.000000 1 1
9000.000000 24 1
10000.000000 1 3
10000.000000 22 1
11000.000000 1 1
11000.000000 3 1
11000.000000 21 1
12000.000000 5 1
12000.000000 20 1
13000.000000 1 1
13000.000000 2 1
13000.000000 22 1
14000.000000 1 2
14000.000000 23 1
15000.000000 1 1
15000.000000 24 1
16000.000000 1 1
16000.000000 2 1
16000.000000 22 1
17000.000000 25 1
18000.000000 1 2
18000.000000 2 1
18000.000000 21 1
19000.000000 1 2
19000.000000 23 1
20000.000000 1 1
20000.000000 24 1
21000.000000 1 3
21000.000000 22 1
22000.000000 25 1
23000.000000 25 1
24000.000000 1 1
24000.000000 24 1
25000.000000 1 2
25000.000000 2 1
25000.000000 21 1
26000.000000 1 2
26000.000000 23 1
27000.000000 1 4
27000.000000 21 1
28000.000000 1 1
28000.000000 24 1
29000.000000 1 3
29000.000000 22 1
30000.000000 25 1
31000.000000 1 1
31000.000000 24 1
32000.000000 1 3
32000.000000 22 1
33000.000000 1 1
33000.000000 2 1
33000.000000 22 1
34000.000000 1 2
34000.000000 23 1
35000.000000 1 4
35000.000000 21 1
36000.000000 1 2
36000.000000 2 1
36000.000000 21 1
37000.000000 25 1
38000.000000 1 2
38000.000000 23 1
39000.000000 1 1
39000.000000 24 1
40000.000000 1 1
40000.000000 24 1
41000.000000 1 1
41000.000000 24 1
42000.000000 1 3
42000.000000 22 1
43000.000000 1 1
43000.000000 2 1
43000.000000 9 1
43000.000000 13 1
44000.000000 1 1
44000.000000 24 1
45000.000000 1 1
45000.000000 24 1
46000.000000 25 1
47000.000000 1 5
47000.000000 20 1
48000.000000 25 1
49000.000000 1 3
49000.000000 11 2
50000.000000 1 1
50000.000000 3 1
50000.000000 21 1
51000.000000 1 2
51000.000000 8 1
51000.000000 15 1
52000.000000 1 2
52000.000000 2 1
52000.000000 21 1
53000.000000 1 3
53000.000000 2 1
53000.000000 20 1
54000.000000 2 2
54000.000000 21 1
55000.000000 1 3
55000.000000 3 1
55000.000000 19 1
56000.000000 1 3
56000.000000 22 1
57000.000000 2 2
57000.000000 21 1
58000.000000 1 3
58000.000000 22 1
59000.000000 1 1
59000.000000 24 1
60000.000000 1 2
60000.000000 5 1
60000.000000 7 1
60000.000000 11 1
61000.000000 1 3
61000.000000 5 1
61000.000000 17 1
62000.000000 1 6
62000.000000 2 1
62000.000000 17 1
63000.000000 1 5
63000.000000 2 1
63000.000000 3 2
63000.000000 6 2
64000.000000 1 2
64000.000000 23 1
65000.000000 1 1
65000.000000 8 1
65000.000000 16 1
66000.000000 1 4
66000.000000 5 1
66000.000000 16 1
67000.000000 1 3
67000.000000 3 1
67000.000000 19 1
68000.000000 1 4
68000.000000 2 3
68000.000000 3 1
68000.000000 5 1
68000.000000 7 1
69000.000000 1 3
69000.000000 5 1
69000.000000 17 1
70000.000000 1 1
70000.000000 24 1
71000.000000 1 1
71000.000000 24 1
72000.000000 1 3
72000.000000 22 1
73000.000000 1 2
73000.000000 6 1
73000.000000 17 1
74000.000000 1 2
74000.000000 6 1
74000.000000 17 1
75000.000000 1 2
75000.000000 23 1
76000.000000 1 2
76000.000000 23 1
77000.000000 1 2
77000.000000 23 1
78000.000000 1 1
78000.000000 24 1
79000.000000 1 1
79000.000000 2 1
79000.000000 22 1
80000.000000 1 2
80000.000000 23 1
81000.000000 1 4
81000.000000 21 1
82000.000000 1 3
