# time_ps largest_cluster_rg_nm
0.000000 10.5317656668
1000.000000 6.9955441527
2000.000000 8.4123216665
3000.000000 6.5141335741
4000.000000 10.2795953708
5000.000000 8.5922389179
6000.000000 6.2452744578
7000.000000 12.1473714035
8000.000000 7.8431229488
9000.000000 11.5805692954
10000.000000 11.1855443407
11000.000000 8.1054153739
12000.000000 7.6165284074
13000.000000 9.1931146705
14000.000000 9.5342481929
15000.000000 8.6672431285
16000.000000 10.6613094334
17000.000000 9.2127136059
18000.000000 6.2308276061
19000.000000 9.8716483859
20000.000000 11.7789150369
21000.000000 8.3743336992
22000.000000 15.9194744273
23000.000000 8.8623315636
24000.000000 8.4208901683
25000.000000 8.0743132571
26000.000000 8.5569453824
27000.000000 8.2224869499
28000.000000 9.2218806066
29000.000000 7.8716299281
30000.000000 8.7989319108
31000.000000 8.1074229559
32000.000000 12.8026444641
33000.000000 10.7243098734
34000.000000 8.5841842724
35000.000000 9.3022963467
36000.000000 9.4139054433
37000.000000 8.6752841257
38000.000000 9.0100462931
39000.000000 8.8024221700
40000.000000 9.5783173722
41000.000000 10.9730615367
42000.000000 9.5952674824
43000.000000 7.4953740906
44000.000000 11.2422474746
45000.000000 21.0474302160
46000.000000 9.5830723510
47000.000000 9.0660480808
48000.000000 9.5939103689
49000.000000 10.5416207097
50000.000000 10.8152210845
51000.000000 11.1873007328
52000.000000 9.7576680989
53000.000000 8.2900615809
54000.000000 10.1737294816
55000.000000 10.2345969763
56000.000000 11.2038650773
57000.000000 8.5956865823
58000.000000 12.5779021532
59000.000000 11.1581877779
60000.000000 7.4870455102
61000.000000 8.7930739520
62000.000000 11.1486265927
63000.000000 5.7221216588
64000.000000 9.8265263114
65000.000000 8.4873881162
66000.000000 8.3256513838
67000.000000 7.7643640558
68000.000000 7.9890630755
69000.000000 7.3132179670
70000.000000 8.5871256130
71000.000000 9.4091394619
72000.000000 10.4932190401
73000.000000 6.8769820408
74000.000000 7.7360477687
75000.000000 7.9037830411
76000.000000 11.5464156259
77000.000000 10.8015211707
78000.000000 8.5180119511
79000.000000 9.5077803069
80000.000000 8.4990678008
81000.000000 7.5513596223
82000.000000 8.1133782835
83000.000000 9.4576803839
84000.000000 9.2996373307
85000.000000 11.2041901414
86000.000000 7.7144976433
87000.000000 9.2642250344
88000.000000 8.2060918028
89000.000000 12.0570838767
90000.000000 9.7351501699
91000.000000 6.3748266987
92000.000000 8.6605894830
93000.000000 12.2208824664
94000.000000 12.2088155619
95000.000000 14.2525126359
96000.000000 9.2819534758
97000.000000 9.6515062816
98000.000000 8.0690662017
99000.000000 9.9563344798
100000.000000 9.7501403396
101000.000000 12.6489217525
102000.000000 12.1846817502
103000.000000 9.7355800476
104000.000000 9.4909608579
105000.000000 10.1177910851
106000.000000 9.1184310276
107000.000000 10.3664164265
108000.000000 7.8179623614
109000.000000 8.3546175937
110000.000000 8.5621629484
111000.000000 9.5201530492
112000.000000 9.2611019723
113000.000000 13.7093130669
114000.000000 8.7557106067
115000.000000 14.3458915104
116000.000000 10.4068173125
117000.000000 10.4867413971
118000.000000 8.7089212348
119000.000000 9.5906479012
120000.000000 11.2879702935
121000.000000 9.3916604627
122000.000000 10.7668777477
123000.000000 8.2250851836
124000.000000 10.1259323955
125000.000000 9.1576543417
126000.000000 10.2568354416
127000.000000 8.0212397252
128000.000000 8.0836634406
129000.000000 10.0284726357
130000.000000 8.3551569195
131000.000000 10.4992145677
132000.000000 14.0011913207
133000.000000 9.2411427418
134000.000000 9.7811696343
135000.000000 10.0054989652
136000.000000 16.1420979297
137000.000000 11.3630152138
138000.000000 7.0773849822
139000.000000 10.6451406964
140000.000000 8.4467678043
141000.000000 7.6195290968
142000.000000 7.2893582700
143000.000000 8.8562347774
144000.000000 12.3031735946
145000.000000 6.8833792035
146000.000000 10.5281643058
147000.000000 11.5656234559
148000.000000 9.7522453352
149000.000000 9.8680841349
150000.000000 10.5788208751
151000.000000 9.7738610438
152000.000000 7.2851243544
153000.000000 8.6070574667
154000.000000 8.1409433337
155000.000000 9.0094600698
156000.000000 7.6390763010
157000.000000 7.4425087709
158000.000000 7.2456412932
159000.000000 7.0566646314
160000.000000 7.9414997966
161000.000000 6.5852670276
162000.000000 10.5078188702
163000.000000 7.9755907211
164000.000000 5.8876810094
