# time_ps mean_cluster_size
0.000000 5.0000000000
1000.000000 2.5000000000
2000.000000 8.3333333333
3000.000000 3.1250000000
4000.000000 6.2500000000
5000.000000 4.1666666667
6000.000000 2.7777777778
7000.000000 3.5714285714
8000.000000 6.2500000000
9000.000000 12.5000000000
10000.000000 6.2500000000
11000.000000 8.3333333333
12000.000000 12.5000000000
13000.000000 8.3333333333
14000.000000 8.3333333333
15000.000000 12.5000000000
16000.000000 8.3333333333
17000.000000 25.0000000000
18000.000000 6.2500000000
19000.000000 8.3333333333
20000.000000 12.5000000000
21000.000000 6.2500000000
22000.000000 25.0000000000
23000.000000 25.0000000000
24000.000000 12.5000000000
25000.000000 6.2500000000
26000.000000 8.3333333333
27000.000000 5.0000000000
28000.000000 12.5000000000
29000.000000 6.2500000000
30000.000000 25.0000000000
31000.000000 12.5000000000
32000.000000 6.2500000000
33000.000000 8.3333333333
34000.000000 8.3333333333
35000.000000 5.0000000000
36000.000000 6.2500000000
37000.000000 25.0000000000
38000.000000 8.3333333333
39000.000000 12.5000000000
40000.000000 12.5000000000
41000.000000 12.5000000000
42000.000000 6.2500000000
43000.000000 6.2500000000
44000.000000 12.5000000000
45000.000000 12.5000000000
46000.000000 25.0000000000
47000.000000 4.1666666667
48000.000000 25.0000000000
49000.000000 5.0000000000
50000.000000 8.3333333333
51000.000000 6.2500000000
52000.000000 6.2500000000
53000.000000 5.0000000000
54000.000000 8.3333333333
55000.000000 5.0000000000
56000.000000 6.2500000000
57000.000000 8.3333333333
58000.000000 6.2500000000
59000.000000 12.5000000000
60000.000000 5.0000000000
61000.000000 5.0000000000
62000.000000 3.1250000000
63000.000000 2.5000000000
64000.000000 8.3333333333
65000.000000 8.3333333333
66000.000000 4.1666666667
67000.000000 5.0000000000
68000.000000 2.5000000000
69000.000000 5.0000000000
70000.000000 12.5000000000
71000.000000 12.5000000000
72000.000000 6.2500000000
73000.000000 6.2500000000
74000.000000 6.2500000000
75000.000000 8.3333333333
76000.000000 8.3333333333
77000.000000 8.3333333333
78000.000000 12.5000000000
79000.000000 8.3333333333
80000.000000 8.3333333333
81000.000000 5.0000000000
82000.000000 6.2500000000
83000.000000 12.5000000000
84000.000000 6.2500000000
85000.000000 8.3333333333
86000.000000 8.3333333333
87000.000000 8.3333333333
88000.000000 4.1666666667
89000.000000 12.5000000000
90000.000000 8.3333333333
91000.000000 5.0000000000
92000.000000 25.0000000000
93000.000000 8.3333333333
94000.000000 12.5000000000
95000.000000 8.3333333333
96000.000000 8.3333333333
97000.000000 6.2500000000
98000.000000 5.0000000000
99000.000000 6.2500000000
100000.000000 8.3333333333
101000.000000 8.3333333333
102000.000000 5.0000000000
103000.000000 12.5000000000
104000.000000 8.3333333333
105000.000000 8.3333333333
106000.000000 6.2500000000
